Id,Id_linea,Nombre,Descripcion,Imagen,Brochure,Vademecum,Video,Params_dist,Proteina,Grasa,Humedad,Fibra,Ceniza,Eln,Orden,Keyword,Target
40,0,18% Alta Producción,,Content/img/rumiantes/apiaba-apileche-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=15,,,,15        ,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
41,37,Establero 20%,Alimento para vacas lecheras en producción alimentadas con esquilmos agrícolas.,Content/img/rumiantes/apiaba-gana-leche-balance-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=16,,,,20        ,2         ,12        ,13        ,13        ,40        ,5,NULL,NULL
43,37,Ganaleche Altas Productoras,Alimento para vacas lecheras. Ofrecer 1kg de alimento por cada 3lt de leche producida.,Content/img/rumiantes/apiaba-gana-leche-balance-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=17,,,,17        ,4         ,12        ,10        ,10        ,47        ,6,NULL,NULL
44,37,Ganaleche 21% Especial,,Content/img/rumiantes/apiaba-gana-leche-balance-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=18,,,,21        ,2         ,12        ,10        ,10        ,45        ,7,NULL,NULL
45,37,Lechero 21%,Alimento para altas productoras con semilla de algodón que favorece la producción de leche.,Content/img/rumiantes/apiaba-gana-leche-balance-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=19,,,,21        ,2         ,12        ,10        ,10        ,45        ,8,NULL,NULL
47,37,Lechero Sinaloense,Alimento para Lechero Sinaloense,Content/img/rumiantes/apiaba-gana-leche-balance-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=20,,,,15        ,3         ,12        ,8         ,6         ,56        ,9,NULL,NULL
48,37,Suplemento Energético,Producto con alta energía para mezclar con forraje de buena calidad.,Content/img/rumiantes/apiaba-gana-leche-balance-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=21,,,,13        ,4         ,12        ,6         ,8         ,57        ,10,NULL,NULL
51,38,Leche 18% Alta sin Urea,Alimento recomendado para altas y medianas productoras,Content/img/rumiantes/apiaba-apileche-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=25,,,,18        ,5         ,12        ,7         ,10        ,48        ,9,NULL,NULL
52,40,Leche 18% Alta sin Urea,Alimento recomendado para altas y medianas productoras,Content/img/rumiantes/malta-lechero-premium.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=25,,,,18        ,5         ,12        ,7         ,10        ,48        ,27,NULL,NULL
53,40,Alimento Vacas Lecheras 18%,Alimento para productoras arriba de 22lt diarios. Presentación rolado y comprimido.,Content/img/rumiantes/malta-lechero-premium.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=26,,,,18        ,5         ,12        ,8         ,8         ,49        ,28,NULL,NULL
54,40,Alimento Vacas Lecheras 20%,"Alimento para altas productoras, en presentación rolado y comprimido.",Content/img/rumiantes/malta-lechero-premium.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=27,,,,20        ,5         ,12        ,8         ,8         ,47        ,29,NULL,NULL
55,38,Lechero 20%,Alimento para altas productoras con semilla de algodón que favorece la producción de leche.,Content/img/rumiantes/apiaba-apileche-40.png,https://www.dropbox.com/s/qt38xu9vaax62w5/MANUAL%20GLECHE%2018.06.14.pdf?dl=28,,,,19        ,3         ,12        ,8         ,8         ,50        ,10,NULL,NULL
